headline,news_link,image_url
PM Shehbaz to lead Pakistan's delegation at UNGA session,https://radio.gov.pk/21-09-2025/pm-shehbaz-to-lead-pakistans-delegation-at-unga,https://newsimage.radio.gov.pk/20250921/21227032811758437782.jpg
"President, PM reaffirm commitment to peace, justice",https://radio.gov.pk/21-09-2025/president-pm-reaffirm-commitment-to-peace-justice,https://newsimage.radio.gov.pk/20250921/48784061758420746.jpg
Investing in youth vital to cement Pak-China ties: Zardari,https://radio.gov.pk/20-09-2025/investing-in-youth-vital-to-cement-pak-china-ties,https://newsimage.radio.gov.pk/20250920/1758377586.jpg
NDMA continuing relief operations in flood-hit areas,https://radio.gov.pk/21-09-2025/ndma-continuing-relief-operations-in-flood-hit-areas,https://newsimage.radio.gov.pk/20250921/21387151361758439289.jpg
"Political, military leadership working in unison: Sanaullah",https://radio.gov.pk/21-09-2025/political-military-leadership-working-in-unison-sanaullah,https://newsimage.radio.gov.pk/20250921/2934488811758421113.jpg
Delegation of Buddhist monks visit Badshahi Mosque,https://radio.gov.pk/21-09-2025/delegation-of-buddhist-monks-visit-badshahi-mosque,https://newsimage.radio.gov.pk/20250921/15899043371758433414.jpg
AJK Assembly adopts resolution commending Pak-Saudi defence agreement,https://radio.gov.pk/21-09-2025/ajk-assembly-adopts-resolution-commending-pakistan-saudi-arabia-defence-agreement,https://newsimage.radio.gov.pk/20250921/10661830111758427004.jpg
"Punjab Govt launches physical verification, geo-tagging of wheat stocks",https://radio.gov.pk/21-09-2025/punjab-govt-launches-physical-verification-geo-tagging-of-wheat-stocks,https://newsimage.radio.gov.pk/20250921/6612199711758427409.jpg
"Minister for Petroleum visits Jalalpur Pirwala, inspects flood-affected gas pipeline",https://radio.gov.pk/20-09-2025/minister-for-petroleum-visits-jalalpur-pirwala-inspects-flood-affected-gas-pipeline,https://newsimage.radio.gov.pk/20250920/699872691758362063.jpg
Saudi Arabia always supports Pakistan in difficult times: Sardar Saleem,https://radio.gov.pk/20-09-2025/saudi-arabia-always-supports-pakistan-in-difficult-times-sardar-saleem,https://newsimage.radio.gov.pk/20250920/18383690401758381482.jpg
Punjab CM launches 2nd phase of Green Tractor Program,https://radio.gov.pk/20-09-2025/punjab-cm-launches-2nd-phase-of-green-tractor-program,https://newsimage.radio.gov.pk/20250920/7413717281758376825.jpg
Tahir Ashrafi terms Pak-KSA defence agreement groundbreaking development,https://radio.gov.pk/20-09-2025/tahir-ashrafi-terms-pak-ksa-defence-agreement-groundbreaking-development,https://newsimage.radio.gov.pk/20250920/229321591758376045.jpg
Pakistan always welcomes Sikh pilgrims at their religious sites: Arora,https://radio.gov.pk/20-09-2025/pakistan-always-welcomes-sikh-pilgrims-at-their-religious-sites-arora,https://newsimage.radio.gov.pk/20250920/15641329271758374937.jpg
